100:01;A2r['  ]| <div2>Enter Chorus.
001:04;B3r[G  ]| Belcher?  if Belcher come here, I will$1$ belch him:  I am 
001:04;B3r[G  ]| not afraid of a deuill.  
001:04;B3r['  ]| Enter 2 deuils. 
001:04;B3r[B  ]| How now sir will$1$ you serue me now?  
001:04;B3r[G  ]| Aye good Wagner take away the deuill then.  
001:04;B3r[B  ]| Spirits away; now sirra follow me.  
001:04;B3r[G  ]| I will$1$ sir; but hearke you Maiser, will$1$ you teach 
001:04;B3r[G  ]| me this coniuring Occupation?  
001:04;B3r[B  ]| Aye sirra, I will$1$ teach thee to$9$ turne thyself to$4$ a Dog, 
001:04;B3r[B  ]| or a Cat, or a Mouse, or a Rat, or any*thing.  
001:04;B3r[G  ]| A Dog, or a Cat, or a Mouse, or a Rat?  O braue 
001:04;B3r[G  ]| Wagner.  
001:04;B3r[B  ]| Villaine, call me Maister Wagner, and see that$3$ you 
001:04;B3r[B  ]| walke attentiuely, and let your right eye be <reg orig="alwaies">always</reg> Diametrally 
001:04;B3r[B  ]| fixt upon$4$ my left heele, that$3$ thou mayst, <foreign>7Quasi 7vestigias </foreign>
001:04;B3r[B  ]| <foreign>7nostras 7insistere.</foreign>? 
001:04;B3r[G  ]| Well sir, I warrant you.  
001:04;B3r['  ]| Exeunt. 
002:01;B3r['  ]| Enter Faustus in$4$ his Study. 
002:01;B3r[A  ]| Now Faustus, must thou needs be damn'd?  
002:01;B3r[A  ]| Canst thou not be sau'd?  
002:01;B3r[A  ]| What bootes it then to$9$ think on$4$ God or Heauen?  
002:01;B3v[A  ]| Away with such vaine fancies, and despaire, 
002:01;B3v[A  ]| Despaire in$4$ GOD, and trust in$4$ Belzebub, 
002:01;B3v[A  ]| Now go on$5$ backward Faustus, be resolute.  
002:01;B3v[A  ]| Why wauerst thou?  O something soundeth in$4$ mine eare.  
002:01;B3v[A  ]| Abiure this Magicke, turne to$4$ God again.  
002:01;B3v[A  ]| Why he loues the not:  The God thou seru'st is thine <reg orig="owne">own</reg> appetite 
002:01;B3v[A  ]| Wherein is fixt the love of Belzebub, 
002:01;B3v[A  ]| To$4$ him, I will$1$ build an Altar and a Church, 
002:01;B3v[A  ]| And offer luke-warme bloud, of new borne babes.  
002:01;B3v['  ]| Enter the two Angels. 
002:01;B3v[D  ]| Go forward Faustus in$4$ that$6#2$ famous Art&H0;.  
002:01;B3v[C  ]| Sweete Faustus leaue that$6#2$ execrable Art&H0;.  
002:01;B3v[A  ]| Contrition, Prayer, Repentance?  what of these?  
002:01;B3v[C  ]| O they are meanes to$9$ bring thee unto heauen.  
002:01;B3v[D  ]| Rather illusions, fruits of lunacy.  
002:01;B3v[D  ]| That$6#1$ make them foolish that$6#1$ do vse them most.  
002:01;B3v[C  ]| Sweet Faustus think of heauen, and heauenly things.  
002:01;B3v[D  ]| No$7$ Faustus think of honour and of wealth.  
002:01;B3v['  ]| Ex.  An. 
002:01;B3v[A  ]| Wealth?  Why the Signory of Embden shall be mine:  
002:01;B3v[A  ]| When Mephostophilis shall stand by$4$ me, 
002:01;B3v[A  ]| What power can hurt me?  Faustus thou art safe.  
002:01;B3v[A  ]| Cast no$2$ more doubts; Mepho: come 
002:01;B3v[A  ]| And bring glad tydings from great Lucifer.  
002:01;B3v[A  ]| Is it not midnight?  come Mephostophilis.  
002:01;B3v[A  ]| <foreign>7Veni 7veni</foreign> Mephostophile. 
002:01;B3v['  ]| Enter Mephosto. 
002:01;B3v[A  ]| Now tell me what saith Lucifer thy Lord.  
002:01;B3v[F  ]| That$3$ I shall waite on$4$ Faustus whilst he liues, 
002:01;B3v[F  ]| So$3$ he will$1$ buy my seruice with his soule.  
002:01;B3v[A  ]| Already Faustus hath hazarded that$6#2$ for$4$ thee.  
002:01;B3v[F  ]| But now thou must bequeath it solemnly, 
002:01;B3v[F  ]| And wright a Deed of Gift with thine <reg orig="owne">own</reg> bloud; 
002:01;B3v[F  ]| For$4$ that$6#2$ security craues Lucifer.  
002:01;B3v[F  ]| If thou deny it I must back to$4$ hell.  
002:01;B3v[A  ]| Stay Mephosto. and tell me, 
002:01;B3v[A  ]| What good will$1$ my soule do thy Lord?  
002:01;B3v[F  ]| Enlarge his Kingdome.  
002:01;B4r[A  ]| Is that$6#2$ the reason why he tempts us$6#2$ thus?  
002:01;B4r[F  ]| <foreign>7Solamen 7miseris, 7socios 7habuisse 7doloris.</foreign> 
002:01;B4r[A  ]| Why, have you any paine that$6#1$ torture other?  
002:01;B4r[F  ]| As great as have the humane soules of men.  
002:01;B4r[F  ]| But tell me Faustus, shall I have thy soule?  
002:01;B4r[F  ]| And I will$1$ be thy slaue and waite on$4$ thee, 
002:01;B4r[F  ]| And give thee more than thou hast wit to$9$ aske.  
002:01;B4r[A  ]| Aye Mephostophilis, I will$1$ give it him.  
002:01;B4r[F  ]| Then Faustus stab thy Arme couragiously, 
002:01;B4r[F  ]| And bind thy soule, that$3$ at some certaine day 
002:01;B4r[F  ]| Great Lucifer may claime it as his <reg orig="owne">own</reg>, 
002:01;B4r[F  ]| And then be thou as great as Lucifer.  
002:01;B4r[A  ]| Loe Mephosto: for$4$ love of thee Faustus hath cut his arme, 
002:01;B4r[A  ]| And with his proper bloud assures his soule to$9$ be great Lucifers, 
002:01;B4r[A  ]| Cheife Lord and Regent of perpetuall night.  
002:01;B4r[A  ]| Veiw here this bloud that$6#1$ trickles from mine arme, 
002:01;B4r[A  ]| And let it be propitious for$4$ my wish.  
002:01;B4r[F  ]| But Faustus 
002:01;B4r[F  ]| Write it in$4$ manner of a Deed of Gift.  
002:01;B4r[A  ]| Aye so$5#2$ I do; but Mephostophilis 
002:01;B4r[A  ]| My bloud congeales, and I can write no$2$ more.  
002:01;B4r[F  ]| I will$1$ fetch thee fire to$9$ dissolue it streight.  
002:01;B4r['  ]| Exit. 
002:01;B4r[A  ]| What might the staying of my bloud portend?  
002:01;B4r[A  ]| Is it vnwilling I should write this byll?  
002:01;B4r[A  ]| Why streames it not, that$3$ I may write a*fresh?  
002:01;B4r[A  ]| Faustus giues to$4$ thee his soule:  O there it staid.  
002:01;B4r[A  ]| Why shouldst thou not?  is not thy soule thine <reg orig="owne">own</reg>?  
002:01;B4r[A  ]| Then write again:  Faustus giues to$4$ thee his soule.  
002:01;B4r['  ]| Enter Mephostoph: with the Chafer of Fire. 
002:01;B4r[F  ]| See Faustus here is fire, set it on$5$.  
002:01;B4r[A  ]| So$3$, now the bloud begins to$9$ cleere again:  
002:01;B4r[A  ]| Now will$1$ I make an end immediately.  
002:01;B4r[F  ]| What will$1$ not I do to$9$ obtaine his soule?  
002:01;B4r[A  ]| <foreign>7Consummatum 7est</foreign>:  this byll is ended, 
002:01;B4r[A  ]| And Faustus hath bequeath'd his soule to$4$ Lucifer.  
002:01;B4r[A  ]| But what is this Inscription on$4$ mine Arme?  
002:01;B4v[A  ]| <foreign>7Homo 7fuge</foreign>, whether should I flye?  
002:01;B4v[A  ]| If unto heauen, he will$1$ throw me down to$4$ hell.  
002:01;B4v[A  ]| My sences are deceiu'd, here is nothing writ:  
002:01;B4v[A  ]| O yes, I see it plaine, <reg orig="euen">even</reg> here is writ 
002:01;B4v[A  ]| <foreign>7Homo 7fuge</foreign>, yet shall not Faustus flye.  
002:01;B4v[F  ]| I will$1$ fetch him somewhat to$9$ delight his minde.  
002:01;B4v['  ]| Exit. 
002:01;B4v['  ]| Enter Deuils, giuing Crownes and rich apparell to$4$ 
002:01;B4v['  ]| Faustus;  they dance, and then depart. 
002:01;B4v['  ]| Enter Mephostophilis. 
002:01;B4v[A  ]| What meanes this shew?  speak Mephostophilis.  
002:01;B4v[F  ]| Nothing Faustus but to$9$ delight thy mind, 
002:01;B4v[F  ]| And let thee see what Magicke can performe.  
002:01;B4v[A  ]| But may I raise such spirits when I please?  
002:01;B4v[F  ]| Aye Faustus, and do greater things than these.  
002:01;B4v[A  ]| Then Mephostophilis receiue this scrole, 
002:01;B4v[A  ]| A Deed of Gift, of body and of soule:  
002:01;B4v[A  ]| But yet conditionally, that$3$ thou performe 
002:01;B4v[A  ]| All Couenants, and Articles, <reg orig="betweene">between</reg> us$6#2$ both.  
002:01;B4v[F  ]| Faustus, I sweare by$4$ Hell and Lucifer, 
002:01;B4v[F  ]| To$9$ effect all promises <reg orig="betweene">between</reg> us$6#2$ both.  
002:01;B4v[A  ]| Then hear me read it Mephostophilis.  
002:01;B4v[A  ]| On$4$ these conditions following.  
002:01;B4v[A  ]| First, that$3$ Faustus may be a spirit in$4$ forme and substance. 
002:01;B4v[A  ]| Secondly, that$3$ Mephostophilis shall be his servant, and be by$4$ 
002:01;B4v[A  ]| him commanded. 
002:01;B4v[A  ]| Thirdly, that$3$ Mephostophilis shall do for$4$ him, and bring him 
002:01;B4v[A  ]| <reg orig="whatsoeuer">whatsoever</reg>. 
002:01;B4v[A  ]| Fourthly, that$3$ he shall be in$4$ his chamber or house inuisible. 
002:01;B4v[A  ]| Lastly, that$3$ he shall appeare to$4$ the said Iohn Faustus, at all 
002:01;B4v[A  ]| times, in$4$ what shape and forme soeuer he please. 
002:01;B4v[A  ]| I Iohn Faustus of Wittenberg, Doctor, by$4$ these presents, do 
002:01;B4v[A  ]| give both body and soule to$4$ Lucifer, Prince of the East, and 
002:01;B4v[A  ]| his Minister Mephastophilis, and furthermore grant unto them 
002:01;B4v[A  ]| that$3$ foure*and*twentie yeares being expired, and these Articles 
002:01;B4v[A  ]| above written inuiolate, full power to$9$ fetch or carry the 
002:01;C1r[A  ]| said John Faustus, body and soule, flesh, bloud, into their habitation 
002:01;C1r[A  ]| wheresouer. 
002:01;C1r[A  ]| By$4$ me Iohn Faustus. 
002:01;C1r[F  ]| Speak Faustus, do you deliuer this as your Deed?  
002:01;C1r[A  ]| Aye take it, and the deuill give thee good of it.  
002:01;C1r[F  ]| So$3$, now Faustus aske me what thou wilt.  
002:01;C1r[A  ]| First, I will$1$ question thee about hell:  
002:01;C1r[A  ]| Tell me, where is the place that$6#1$ men call Hell?  
002:01;C1r[F  ]| Under the heauens.  
002:01;C1r[A  ]| Aye, so$5#2$ are all things else; but whereabouts?  
002:01;C1r[F  ]| Within the bowels of these Elements, 
002:01;C1r[F  ]| Where we$6#2$ are tortur'd, and remaine <reg orig="for euer">forever</reg>.  
002:01;C1r[F  ]| Hell hath no$2$ limits, nor is circumscrib'd, 
002:01;C1r[F  ]| In$4$ one self place:  but where we$6#2$ are is hell, 
002:01;C1r[F  ]| And where hell is there must we$6#2$ <reg orig="euer">ever</reg> be.  
002:01;C1r[F  ]| And to$9$ be short, when all the world dissolues, 
002:01;C1r[F  ]| And <reg orig="euery">every</reg> creature shall be purifi'd, 
002:01;C1r[F  ]| All places shall be hell that$6#1$ is not heauen.  
002:01;C1r[A  ]| I think Hel is a fable.  
002:01;C1r[F  ]| Aye, think so$5#2$ still, till experience change thy mind.  
002:01;C1r[A  ]| Why, dost thou think that$3$ Faustus shall be damn'd?  
002:01;C1r[F  ]| Aye, of necessity, for$3$ here is the scrowle 
002:01;C1r[F  ]| In$4$ which$6#1$ thou hast giuen thy soule to$4$ Lucifer.  
002:01;C1r[A  ]| Aye, and body too, but what of that$6#2$:  
002:01;C1r[A  ]| Think'st thou that$3$ Faustus, is so$5#1$ fond to$9$ imagine, 
002:01;C1r[A  ]| That$3$ after this life there is any paine?  
002:01;C1r[A  ]| No$7$, these are trifles, and meere old wiues Tales.  
002:01;C1r[F  ]| But I am an instance to$9$ proue the contrary:  
002:01;C1r[F  ]| For$3$ I tell thee I am damn'd, and now in$4$ hell.  
002:01;C1r[A  ]| Nay, if this be hell, I will$1$ willingly be damn'd.  
002:01;C1r[A  ]| What sleeping, eating, walking and disputing?  
002:01;C1r[A  ]| But leauing this, let me have a wife, the fairest Maid in$4$ 
002:01;C1r[A  ]| Germany, for$3$ I am wanton and lasciuious, and cannot live 
002:01;C1r[A  ]| without a wife.  
002:01;C1r[F  ]| Well Faustus, thou shalt have a wife.  
002:01;C1r['  ]| He fetches in$4$ a woman deuill. 
002:01;C1r[A  ]| What sight is this?  
002:01;C1v[F  ]| Now Faustus wilt thou have a wife?  
002:01;C1v[A  ]| Here is a hot whore indeed; no$7$, I will$1$ no$2$ wife.  
002:01;C1v[F  ]| Marriage is but a ceremoniall toy, 
002:01;C1v[F  ]| And if thou louest me think no$2$ more of it, 
002:01;C1v[F  ]| I will$1$ cull thee out the fairest Curtezans, 
002:01;C1v[F  ]| And bring them <reg orig="euery">every</reg> morning to$4$ thy bed:  
002:01;C1v[F  ]| She whom thine eye shall like$1$, thy heart shall have, 
002:01;C1v[F  ]| Were she as chaste as was Penelope; 
002:01;C1v[F  ]| As wise as Saba, or as beautifull 
002:01;C1v[F  ]| As was bright Lucifer before his fall.  
002:01;C1v[F  ]| Here, take this booke, and peruse it well:  
002:01;C1v[F  ]| The Iterating of these lines brings gold; 
002:01;C1v[F  ]| The framing of this circle on$4$ the ground 
002:01;C1v[F  ]| Brings Thunder, Whirle-winds, Storme and Lightning:  
002:01;C1v[F  ]| Pronounce this thrice deuoutly to$4$ thyself, 
002:01;C1v[F  ]| And men in$4$ harnesse shall appeare to$4$ thee, 
002:01;C1v[F  ]| Ready to$9$ execute what thou commandst.  
002:01;C1v[A  ]| Thankes Mephostophilis for$4$ this sweete booke.  
002:01;C1v[A  ]| This will$1$ I keepe, as chary as my life.  
002:01;C1v['  ]| Exeunt. 
002:01;C1v['  ]| Enter Wagner solus. 
002:01;C1v[B  ]| Learned Faustus 
002:01;C1v[B  ]| To$9$ know the secrets of Astronomy 
002:01;C1v[B  ]| Grauen in$4$ the booke of Ioues high firmament, 
002:01;C1v[B  ]| Did mount himself to$9$ scale Olympus top, 
002:01;C1v[B  ]| Being seated in$4$ a chariot burning bright, 
002:01;C1v[B  ]| Drawne by$4$ the strength of yoaky Dragons necks, 
002:01;C1v[B  ]| He now is gone to$9$ proue Cosmography, 
002:01;C1v[B  ]| And as I gesse will$1$ first arriue at Rome, 
002:01;C1v[B  ]| To$9$ see the Pope and manner of his Court; 
002:01;C1v[B  ]| And take some part of holy Peters feast, 
002:01;C1v[B  ]| That$6#1$ to$4$ this day is highly solemnized.  
002:01;C1v['  ]| Exit Wagner. 
002:02;C1v['  ]| Enter Faustus in$4$ his Study, and Mephostophilis. 
002:02;C1v[A  ]| When I behold the heauens then I repent 
002:02;C1v[A  ]| And curse thee wicked Mephostophilis, 
002:02;C2r[A  ]| Because thou hast depriu'd me of those Ioyes.  
002:02;C2r[F  ]| It was thine <reg orig="owne">own</reg> seeking Faustus, thanke thyself.  
002:02;C2r[F  ]| But think'st thou heauen is such a glorious thing?  
002:02;C2r[F  ]| I tell thee Faustus it is not halfe so$5#1$ fair 
002:02;C2r[F  ]| As thou, or any man that$6#1$ breathe on$4$ earth.  
002:02;C2r[A  ]| How prou'st thou that$6#2$?  
002:02;C2r[F  ]| It was made for$4$ man; then he is more excellent.  
002:02;C2r[A  ]| If Heauen was made for$4$ man, it was made for$4$ me:  
002:02;C2r[A  ]| I will$1$ renounce this Magicke and repent.  
002:02;C2r['  ]| Enter the two Angels. 
002:02;C2r[C  ]| Faustus repent, yet God will$1$ pitty thee.  
002:02;C2r[D  ]| Thou art a spirit, God cannot pity thee.  
002:02;C2r[A  ]| Who$6#2$ buzzeth in$4$ mine eares I am a spirit?  
002:02;C2r[A  ]| Be I a deuill yet God may pitty me, 
002:02;C2r[A  ]| Yea, God will$1$ pitty me if I repent.  
002:02;C2r[D  ]| Aye, but Faustus <reg orig="neuer">never</reg> shall repent.  
002:02;C2r['  ]| Exit Angels. 
002:02;C2r[A  ]| My heart is hardned, I cannot repent:  
002:02;C2r[A  ]| Scarce can I name saluation, faith, or heauen.  
002:02;C2r[A  ]| Swords, poyson, halters, and inuenomb'd steele, 
002:02;C2r[A  ]| Are laid before me to$9$ dispatch myself:  
002:02;C2r[A  ]| And long <reg orig="e're">ere</reg> this, I should have done the deed, 
002:02;C2r[A  ]| Had not sweete pleasure conquer'd deepe despaire.  
002:02;C2r[A  ]| Have not I made blind Homer sing to$4$ me 
002:02;C2r[A  ]| Of Alexanders love, and Oenons death?  
002:02;C2r[A  ]| And hath not he that$6#1$ built the walles of Thebes, 
002:02;C2r[A  ]| With rauishing sound of his melodious Harpe, 
002:02;C2r[A  ]| Made musicke with my Mephostophilis?  
002:02;C2r[A  ]| Why should I die then, or basely despaire?  
002:02;C2r[A  ]| I am resolu'd, Faustus shall not repent.  
002:02;C2r[A  ]| Come Mephostophilis let us$6#2$ dispute again, 
002:02;C2r[A  ]| And reason of diuine Astrology.  
002:02;C2r[A  ]| Speak, are there many Spheares above the Moone?  
002:02;C2r[A  ]| Are all Celestiall bodies but one Globe, 
002:02;C2r[A  ]| As is the substance of this centricke earth?  
002:02;C2v[F  ]| As are the elements, such are the heauens, 
002:02;C2v[F  ]| <reg orig="Euen">Even</reg> from the Moone unto the Emperiall Orbe, 
002:02;C2v[F  ]| Mutually folded in$4$ each others Spheares, 
002:02;C2v[F  ]| And iontly moue upon$4$ one Axle-tree, 
002:02;C2v[F  ]| Whose termine, is tearmed the worlds wide Pole.  
002:02;C2v[F  ]| Nor are the names of Saturne, Mars, or Iupiter, 
002:02;C2v[F  ]| Fain'd, but are euening Starres.  
002:02;C2v[A  ]| But have they all one motion, both <foreign>7situ 7& 7tempore</foreign>?  
002:02;C2v[F  ]| All moue from East to$4$ West, in$4$ foure*and*twenty 
002:02;C2v[F  ]| houres, upon$4$ the poles of the world, but differ in$4$ 
002:02;C2v[F  ]| their motions upon$4$ the poles of the Zodiacke.  
002:02;C2v[A  ]| These slender questions Wagner can decide:  
002:02;C2v[A  ]| Hath Mephostophilis no$2$ greater skill?  
002:02;C2v[A  ]| Who$6#2$ knowes not the double motion of the Planets?  
002:02;C2v[A  ]| That$3$ the first is finisht in$4$ a naturall day?  
002:02;C2v[A  ]| The second thus, Saturne in$4$ 30 yeares; 
002:02;C2v[A  ]| Iupiter in$4$ 12, Mars in$4$ 4, the Sun, Venus, and 
002:02;C2v[A  ]| Mercury in$4$ a yeare; the Moone in$4$ twenty*eight daies.  
002:02;C2v[A  ]| These are fresh*mens questions:  But tell me, hath <reg orig="euery">every</reg> 
002:02;C2v[A  ]| Spheare a Dominion, or 7Intelligentia?  
002:02;C2v[F  ]| Aye.  
002:02;C2v[A  ]| How many Heauens, or Spheares, are there?  
002:02;C2v[F  ]| Nine, the seuen Planets, the Firmament, and the 
002:02;C2v[F  ]| Emperiall heauen.  
002:02;C2v[A  ]| But is there not <foreign>7Co*elum 7igneum, 7& 7Christallinum</foreign>?  
002:02;C2v[F  ]| No$7$ Faustus they be but Fables.  
002:02;C2v[A  ]| Resolue me then in$4$ this one question:  
002:02;C2v[A  ]| Why are not Coniunctions, Oppositions, Aspects, Eclipses,  
002:02;C2v[A  ]| all at one time, but in$4$ some years we$6#2$ have 
100:04;A2V[U  ]| more, in$4$ some lesse? 
002:02;C2v[F  ]| <foreign>7Per 7ina*equalem 7motum, 7respectu 7totius</foreign>.  
002:02;C2v[A  ]| Well, I am answer'd:  now tell me who$6#2$ made the world?  
002:02;C2v[F  ]| I will$1$ not.  
002:02;C2v[A  ]| Sweet Mephostophilis tell me.  
002:02;C2v[F  ]| Moue me not Faustus.  
002:02;C2v[A  ]| Villaine,  have not I bound thee to$9$ tell me any*thing?  
002:02;C2v[F  ]| Aye, that$6#1$ is not against our$6#2$ kingdome.  
002:02;C2v[F  ]| This is:  Thou art damn'd, think thou of hell.  
002:02;C2v[A  ]| Think Faustus upon$4$ God, that$6#1$ made the world.  
002:02;C2v[F  ]| Remember this. ~~
002:02;C2v['  ]| Exit. 
002:02;C3r[A  ]| Aye, go accursed spirit to$4$ vgly hell:  
002:02;C3r[A  ]| It is thou hast damn'd distressed Faustus soule. Is it not too late?  
002:02;C3r['  ]| Enter the two Angels. 
002:02;C3r[D  ]| Too late.  
002:02;C3r[C  ]| <reg orig="Neuer">Never</reg> too late, if Faustus will$1$ repent.  
002:02;C3r[D  ]| If thou repent, deuils will$1$ teare thee in$4$ peeces.  
002:02;C3r[C  ]| Repent and they shall <reg orig="neuer">never</reg> raise thy skin.  
002:02;C3r['  ]| Ex.  A. 
002:02;C3r[A  ]| O Christ my Sauiour, my Sauiour, 
002:02;C3r[A  ]| Helpe to$9$ saue distressed Faustus soule.  
002:02;C3r['  ]| Enter Lucifer, Belzebub, and Mephostophilis. 
002:02;C3r[K  ]| Christ cannot saue thy soule, for$3$ he is iust, 
002:02;C3r[K  ]| There is none but I have interest in$4$ the same.  
002:02;C3r[A  ]| O what art thou that$6#1$ look'st so$5#1$ terribly.  
002:02;C3r[K  ]| I am Lucifer, and this is my companion Prince in$4$ hell.  
002:02;C3r[A  ]| O Faustus they are come to$9$ fetch thy soule.  
002:02;C3r[L  ]| We$6#2$ are come to$9$ tell thee thou dost iniure us$6#2$.  
002:02;C3r[K  ]| Thou calst on$4$ Christ contrary to$4$ thy promise.  
002:02;C3r[L  ]| Thou <reg orig="'should'st">shouldst</reg> not think on$4$ God.  
002:02;C3r[K  ]| Think on$4$ the deuill.  
002:02;C3r[L  ]| And his dam too.  
002:02;C3r[A  ]| Nor will$1$ Faustus henceforth:  pardon him for$4$ this, 
002:02;C3r[A  ]| And Faustus vowes <reg orig="neuer">never</reg> to$9$ look to$4$ heauen.  
002:02;C3r[K  ]| So$5#2$ shalt thou show thyself an obedient seruant, 
002:02;C3r[K  ]| And we$6#2$ will$1$ highly gratify thee for$4$ it.  
002:02;C3r[L  ]| Faustus we$6#2$ are come from hell in$4$ person to$9$ shew 
002:02;C3r[L  ]| thee some pastime:  sit down and thou shalt behold the seuen 
002:02;C3r[L  ]| deadly sinnes appeare to$4$ thee in$4$ their <reg orig="owne">own</reg> proper shapes  
002:02;C3r[L  ]| and likenesse.  
002:02;C3r[A  ]| That$6#2$ sight will$1$ be as pleasant to$4$ me, as Paradise 
002:02;C3r[A  ]| was to$4$ Adam the first day of his creation.  
002:02;C3r[K  ]| Talke not of Paradice or Creation, but marke 
002:02;C3r[K  ]| the shew, go Mephostoph. fetch them in$5$.  
002:02;C3r['  ]| Enter the 7 deadly sinnes. 
002:02;C3r[L  ]| Now Faustus, question them of their names and 
002:02;C3r[L  ]| dispositions.  
002:02;C3v[A  ]| That$6#2$ shall I soon:  What art thou the first?  
002:02;C3v[WA ]| I am Pride; I disdaine to$9$ have any parents:  I am  
002:02;C3v[WA ]| like$4$ to$4$ Ouids Flea, I can creepe into <reg orig="euery">every</reg> corner of a 
002:02;C3v[WA ]| Wench:  Sometimes, like$4$ a Perriwig, I sit upon$4$ her$2$ 
002:02;C3v[WA ]| Brow:  next, like$4$ a Necke-lace I hang about her$2$ Necke:  
002:02;C3v[WA ]| Then, like$4$ a Fan of Feathers, I kisse her$6$; And then turning 
002:02;C3v[WA ]| myself to$4$ a wrought Smocke do what I list.  But fye, 
002:02;C3v[WA ]| what a smell is here?  I will$1$ not speak a word more for$4$ a 
002:02;C3v[WA ]| Kings ransome, vnlesse the ground be perfum'd, and couer'd 
002:02;C3v[WA ]| with cloth of Arras.  
002:02;C3v[A  ]| Thou art a proud knaue indeed:  What art thou 
002:02;C3v[A  ]| the second?  
002:02;C3v[WB ]| I am Couetousnesse:  begotten of an old Churle 
002:02;C3v[WB ]| in$4$ a leather bag; and might I now obtaine my wish, this house 
002:02;C3v[WB ]| you and all, should turne to$4$ Gold, that$6#1$ I might locke you safe 
002:02;C3v[WB ]| into my Chest:  O my sweete Gold!  
002:02;C3v[A  ]| And what art thou the third?  
002:02;C3v[WC ]| I am Enuy, begotten of a Chimney-sweeper, and 
002:02;C3v[WC ]| an Oyster-wife:  I cannot read, and therefore wish all books 
002:02;C3v[WC ]| burn'd.  I am leane with seeing others eate:  O that$3$ there 
002:02;C3v[WC ]| would come a famine over all the world, that$3$ all might die, and 
002:02;C3v[WC ]| I live alone, then thou <reg orig="'shoul'st">shouldst</reg> see how fat I would be.  But must 
002:02;C3v[WC ]| thou sit, and I stand?  come down with a vengeance.  
002:02;C3v[A  ]| Out enuious wretch:  But what art thou the fourth?  
002:02;C3v[WD ]| I am Wrath:  I had neither father nor mother, I 
002:02;C3v[WD ]| leapt out of a Lyons mouth when I was scarce an houre old,  
002:02;C3v[WD ]| and <reg orig="euer">ever</reg> since have runne up$5$ and down the world with these 
002:02;C3v[WD ]| case of Rapiers, wounding myself when I could get none  
002:02;C3v[WD ]| to$9$ fight withall: I was borne in$4$ hell, and look to$4$ it, for$3$ some 
002:02;C3v[WD ]| of you shall be my father.  
002:02;C3v[AQ ]| And what art thou the fift?  
002:02;C3v[WE ]| I am Gluttony; my parents are all dead, and the deuill 
002:02;C3v[WE ]| a peny they have left me, but a small pention, and that$6#2$ 
002:02;C3v[WE ]| buyes me thirty meales a day, and ten Beauers: a small trifle 
002:02;C3v[WE ]| to$9$ suffice nature. I come of a Royall Pedigree, my father 
002:02;C3v[WE ]| was a Gammon of Bacon, and my mother was a Hogs-head 
002:02;C3v[WE ]| of Claret Wine. My godfathers were these:  Peter-pickeld-herring, 
002:02;C3v[WE ]| and Martin Martlemasse-beefe:  But my godmother, 
002:02;C4r[WE ]| O she was an ancient Gentlewoman, her$2$ name was 
002:02;C4r[WE ]| Margery March-beere:  Now Faustus thou hast heard all my 
002:02;C4r[WE ]| progeny, wilt thou bid me to$4$ supper?  
002:02;C4r[A  ]| Not I.  
002:02;C4r[WE ]| Then the deuill chooke thee.  
002:02;C4r[A  ]| Choke thyself Glutton:  What art thou the sixt?  
002:02;C4r[WF ]| Hey ho; I am Sloth:  I was begotten on$4$ a sunny-bank:  
002:02;C4r[WF ]| hey ho:  I will$1$ not speak a word more for$4$ a kings ransome.  
002:02;C4r[A  ]| And what are you Mistris Minkes, the seuenth and last?  
002:02;C4r[WG ]| Who$6#2$ I I sir?  I am one that$6#1$ loues an inch of raw 
002:02;C4r[WG ]| Mutton, better than an ell of fryde Stockfish:  and the first 
002:02;C4r[WG ]| letter of my name begins with Letchery.  
002:02;C4r[K  ]| Away to$4$ hell, away on$5$ piper.  
002:02;C4r['  ]| Ex% the 7 sinnes. 
002:02;C4r[A  ]| O how this sight doth delight my soule.  
002:02;C4r[K  ]| But Faustus, in$4$ hell is all manner of delight.  
002:02;C4r[A  ]| O might I see hell, and returne again safe, how 
002:02;C4r[A  ]| happy were I then.  
002:02;C4r[K  ]| Faustus, thou shalt, at midnight I will$1$ send for$4$ thee; 
002:02;C4r[K  ]| Meane*while peruse this booke, and view it throughly, 
002:02;C4r[K  ]| And thou shalt turne thyself into what shape thou wilt.  
002:02;C4r[A  ]| Thankes mighty Lucifer:  
002:02;C4r[A  ]| This will$1$ I keepe as chary as my life.  
002:02;C4r[K  ]| Now Faustus farewell.  
002:02;C4r[A  ]| Farewell great Lucifer:  come Mephostophilis 
002:02;C4r['  ]| Exeunt omnes, seuerall waies. 
002:03;C4r['  ]| Enter the Clowne. 
002:03;C4r[G  ]| What Dick, look to$4$ the horses there till I come again.  
002:03;C4r[G  ]| I have gotten one of Doctor Faustus coniuring bookes, and  
002:03;C4r[G  ]| now we$6#2$ will$1$ have such knauery, as it passes.  
002:03;C4r['  ]| Enter Dick. 
002:03;C4r[M  ]| What  Robin, you must come away and walk the horses.  
002:03;C4r[G  ]| I walke the horses, I scorn it 'faith, I have other 
002:03;C4r[G  ]| matters in$4$ hand, let the horses walk themselves if they will$1$.  
002:03;C4r[G  ]| <foreign>7A 7perse 7a, 7t. 7h. 7e 7the:  7o 7per 7se 7o </foreign>
100:04;A2V[U  ]| <foreign>7deny 7orgon, 7gorgon</foreign>: keepe 
002:03;C4r[G  ]| further from me O thou illiterate, and vnlearned Hostler.  
002:03;C4r[M  ]| 'Snayles, what hast thou got there a book?  why thou 
